algoritmo,n,semilla,exito,tiempo_segundos,nodos_explorados
forward_checking,8,21,1,2.0742416381835938e-05,8
forward_checking,8,22,1,2.0742416381835938e-05,8
forward_checking,8,23,1,2.5033950805664062e-05,12
forward_checking,8,24,1,2.288818359375e-05,10
forward_checking,8,25,1,3.218650817871094e-05,16
forward_checking,8,26,1,3.7670135498046875e-05,19
forward_checking,8,27,1,2.002716064453125e-05,8
forward_checking,8,28,1,2.6464462280273438e-05,13
forward_checking,8,29,1,1.8358230590820312e-05,8
backtracking,10,0,1,0.002003908157348633,4425
backtracking,10,1,1,7.367134094238281e-05,138
backtracking,10,2,1,0.0005793571472167969,1233
backtracking,10,3,1,0.00026226043701171875,537
backtracking,10,4,1,0.0008108615875244141,1790
backtracking,10,5,1,0.00019025802612304688,423
backtracking,10,6,1,0.0001468658447265625,311
backtracking,10,7,1,3.933906555175781e-05,67
backtracking,10,8,1,7.700920104980469e-05,163
backtracking,10,9,1,2.5272369384765625e-05,29
backtracking,10,10,1,7.176399230957031e-05,134
backtracking,10,11,1,0.0002601146697998047,564
backtracking,10,12,1,0.0007297992706298828,1628
backtracking,10,13,1,0.0004012584686279297,873
backtracking,10,14,1,2.6464462280273438e-05,30
backtracking,10,15,1,0.0002334117889404297,500
backtracking,10,16,1,9.179115295410156e-05,184
backtracking,10,17,1,0.00022172927856445312,467
backtracking,10,18,1,0.0005502700805664062,1223
backtracking,10,19,1,0.0008597373962402344,1977
backtracking,10,20,1,0.00011563301086425781,236
backtracking,10,21,1,0.00022101402282714844,391
backtracking,10,22,1,4.57763671875e-05,77
backtracking,10,23,1,0.0008428096771240234,1891
backtracking,10,24,1,2.5272369384765625e-05,29
backtracking,10,25,1,3.9577484130859375e-05,61
backtracking,10,26,1,0.0001697540283203125,345
backtracking,10,27,1,3.409385681152344e-05,53
backtracking,10,28,1,2.7418136596679688e-05,37
backtracking,10,29,1,2.8133392333984375e-05,35
forward_checking,10,0,1,0.0006427764892578125,316
forward_checking,10,1,1,3.719329833984375e-05,12
forward_checking,10,2,1,0.00013899803161621094,63
forward_checking,10,3,1,4.792213439941406e-05,19
forward_checking,10,4,1,0.00011014938354492188,52
forward_checking,10,5,1,0.00012063980102539062,56
forward_checking,10,6,1,5.650520324707031e-05,23
forward_checking,10,7,1,3.8623809814453125e-05,14
forward_checking,10,8,1,6.008148193359375e-05,27
forward_checking,10,9,1,0.0001125335693359375,52
forward_checking,10,10,1,5.030632019042969e-05,21
forward_checking,10,11,1,5.173683166503906e-05,21
forward_checking,10,12,1,0.00014519691467285156,67
forward_checking,10,13,1,6.937980651855469e-05,30
forward_checking,10,14,1,0.0001010894775390625,46
forward_checking,10,15,1,4.1484832763671875e-05,16
forward_checking,10,16,1,0.00010657310485839844,49
forward_checking,10,17,1,0.00010752677917480469,49
forward_checking,10,18,1,3.1948089599609375e-05,10
forward_checking,10,19,1,8.130073547363281e-05,35
forward_checking,10,20,1,4.649162292480469e-05,18
forward_checking,10,21,1,4.7206878662109375e-05,19
forward_checking,10,22,1,2.956390380859375e-05,10
forward_checking,10,23,1,4.839897155761719e-05,20
forward_checking,10,24,1,0.0001201629638671875,57
forward_checking,10,25,1,0.000202178955078125,98
forward_checking,10,26,1,0.0009508132934570312,390
forward_checking,10,27,1,5.412101745605469e-05,19
forward_checking,10,28,1,0.00015282630920410156,64
forward_checking,10,29,1,0.00010013580322265625,41
