algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
BFS,15,0,0,0,9.1e-05,False
DFS,15,0,0,0,5.4e-05,False
DLS-50,15,0,0,0,4.3e-05,False
DLS-75,15,0,0,0,3.6e-05,False
DLS-100,15,0,0,0,3.8e-05,False
UCS,15,9201,92,137,0.370007,True
A* (esc1),15,775,84,381,0.030869,True
A* (esc2),15,1386,104,284,0.060912,True
RANDOM,16,0,0,0,0.000401,False
BFS,16,0,0,0,0.000131,False
DFS,16,0,0,0,6.5e-05,False
DLS-50,16,0,0,0,5.4e-05,False
DLS-75,16,0,0,0,4.2e-05,False
DLS-100,16,0,0,0,4.1e-05,False
UCS,16,1896,44,62,0.070554,True
A* (esc1),16,225,40,274,0.004905,True
A* (esc2),16,85,42,96,0.002218,True
RANDOM,17,0,0,0,0.000426,False
BFS,17,0,0,0,8.4e-05,False
DFS,17,0,0,0,6.7e-05,False
DLS-50,17,0,0,0,3.3e-05,False
DLS-75,17,0,0,0,3e-05,False
DLS-100,17,0,0,0,5.1e-05,False
UCS,17,8452,123,150,0.299084,True
A* (esc1),17,1711,105,762,0.049942,True
A* (esc2),17,123,105,240,0.003101,True
RANDOM,18,0,0,0,0.000417,False
BFS,18,0,0,0,0.000125,False
DFS,18,0,0,0,5.1e-05,False
DLS-50,18,0,0,0,3.4e-05,False
DLS-75,18,0,0,0,3.5e-05,False
DLS-100,18,0,0,0,3.8e-05,False
UCS,18,1630,64,73,0.059223,True
A* (esc1),18,174,44,350,0.004131,True
A* (esc2),18,83,54,180,0.001968,True
RANDOM,19,0,0,0,0.000388,False
BFS,19,0,0,0,0.000106,False
DFS,19,0,0,0,5.4e-05,False
DLS-50,19,0,0,0,3.5e-05,False
DLS-75,19,0,0,0,3.7e-05,False
DLS-100,19,0,0,0,3.6e-05,False
UCS,19,6665,109,145,0.257483,True
A* (esc1),19,674,83,389,0.024374,True
A* (esc2),19,1510,101,353,0.065232,True
RANDOM,20,0,0,0,0.00035,False
BFS,20,0,0,0,7.1e-05,False
DFS,20,0,0,0,4.4e-05,False
DLS-50,20,0,0,0,3.5e-05,False
DLS-75,20,0,0,0,3.3e-05,False
DLS-100,20,0,0,0,3.7e-05,False
UCS,20,7311,135,153,0.248362,True
A* (esc1),20,835,103,562,0.0286,True
A* (esc2),20,814,127,325,0.020822,True
RANDOM,21,0,0,0,0.000371,False
BFS,21,0,0,0,6.5e-05,False
DFS,21,0,0,0,3.9e-05,False
DLS-50,21,0,0,0,3.3e-05,False
DLS-75,21,0,0,0,3e-05,False
DLS-100,21,0,0,0,2.7e-05,False
UCS,21,4392,73,100,0.147226,True
A* (esc1),21,341,53,170,0.007905,True
A* (esc2),21,0,0,0,0.213599,False
RANDOM,22,0,0,0,0.000354,False
BFS,22,0,0,0,0.000109,False
DFS,22,0,0,0,4.1e-05,False
DLS-50,22,0,0,0,3.4e-05,False
DLS-75,22,0,0,0,3.2e-05,False
DLS-100,22,0,0,0,3.1e-05,False
UCS,22,9277,168,186,0.333249,True
A* (esc1),22,1113,96,312,0.041946,True
A* (esc2),22,2495,112,364,0.058645,True
RANDOM,23,0,0,0,0.000341,False
BFS,23,0,0,0,7.6e-05,False
DFS,23,0,0,0,4.6e-05,False
DLS-50,23,0,0,0,3.9e-05,False
DLS-75,23,0,0,0,3.7e-05,False
DLS-100,23,0,0,0,3.2e-05,False
UCS,23,2481,56,83,0.145591,True
A* (esc1),23,351,50,194,0.008884,True
A* (esc2),23,704,50,185,0.025965,True
RANDOM,24,0,0,0,0.000339,False
BFS,24,0,0,0,8.1e-05,False
DFS,24,0,0,0,4.2e-05,False
DLS-50,24,0,0,0,3.1e-05,False
DLS-75,24,0,0,0,3.4e-05,False
DLS-100,24,0,0,0,3.4e-05,False
UCS,24,394,23,41,0.015346,True
A* (esc1),24,98,21,138,0.00546,True
A* (esc2),24,55,29,83,0.002288,True
RANDOM,25,0,0,0,0.000393,False
BFS,25,0,0,0,0.000129,False
DFS,25,0,0,0,4.9e-05,False
DLS-50,25,0,0,0,3.4e-05,False
DLS-75,25,0,0,0,5e-05,False
DLS-100,25,0,0,0,3.1e-05,False
UCS,25,1513,44,71,0.095791,True
A* (esc1),25,298,54,351,0.0147,True
A* (esc2),25,149,58,193,0.021633,True
RANDOM,26,0,0,0,0.000402,False
BFS,26,0,0,0,0.000106,False
DFS,26,0,0,0,6.3e-05,False
DLS-50,26,0,0,0,3.7e-05,False
DLS-75,26,0,0,0,3.1e-05,False
DLS-100,26,0,0,0,3e-05,False
UCS,26,7366,155,200,0.252862,True
A* (esc1),26,1820,115,457,0.052445,True
A* (esc2),26,1906,125,332,0.044869,True
