env,algorithm,scenario,states_explored,actions_taken,total_cost,time_seconds,solution_found
7,DLS-75,1,,,,0.2563259349999498,False
7,DLS-75,2,,,,0.2563259349999498,False
7,DLS-100,1,80647,100,100,0.2609718530002283,True
7,DLS-100,2,80647,100,406,0.2609718530002283,True
7,UCS,1,6395,86,86,0.023767723000673868,True
7,UCS,2,6395,86,392,0.023767723000673868,True
7,A1,1,1555,86,86,0.005612379000012879,True
7,A2,2,1555,86,392,0.005881510000108392,True
8,RANDOM,1,,,,5.566500021814136e-05,False
8,RANDOM,2,,,,5.566500021814136e-05,False
8,BFS,1,7522,109,109,0.021304423000401584,True
8,BFS,2,7522,109,496,0.021304423000401584,True
8,DFS,1,3500,3141,3141,0.008192097999199177,True
8,DFS,2,3500,3141,9702,0.008192097999199177,True
8,DLS-50,1,,,,0.09186489200055803,False
8,DLS-50,2,,,,0.09186489200055803,False
8,DLS-75,1,,,,0.22687785899961455,False
8,DLS-75,2,,,,0.22687785899961455,False
8,DLS-100,1,,,,0.4564960380002958,False
8,DLS-100,2,,,,0.4564960380002958,False
8,UCS,1,4954,109,109,0.01802229700024327,True
8,UCS,2,4954,109,496,0.01802229700024327,True
8,A1,1,2569,109,109,0.009266003000448109,True
8,A2,2,2569,109,496,0.00950886300051934,True
9,RANDOM,1,,,,1.5566000001854263e-05,False
9,RANDOM,2,,,,1.5566000001854263e-05,False
9,BFS,1,8910,167,167,0.025775925000743882,True
9,BFS,2,8910,167,941,0.025775925000743882,True
9,DFS,1,1812,1717,1717,0.00422931899993273,True
9,DFS,2,1812,1717,6163,0.00422931899993273,True
9,DLS-50,1,,,,0.049411386999963725,False
9,DLS-50,2,,,,0.049411386999963725,False
9,DLS-75,1,,,,0.13800178800011054,False
9,DLS-75,2,,,,0.13800178800011054,False
9,DLS-100,1,,,,0.29784310800005187,False
9,DLS-100,2,,,,0.29784310800005187,False
9,UCS,1,8551,167,167,0.03133058600087679,True
9,UCS,2,8551,167,941,0.03133058600087679,True
9,A1,1,5902,167,167,0.02175451699986297,True
9,A2,2,5902,167,941,0.022309777999907965,True
10,RANDOM,1,,,,1.3704000593861565e-05,False
10,RANDOM,2,,,,1.3704000593861565e-05,False
10,BFS,1,4540,59,59,0.01269167899954482,True
10,BFS,2,4540,59,491,0.01269167899954482,True
10,DFS,1,6183,5683,5683,0.014143090000288794,True
10,DFS,2,6183,5683,18355,0.014143090000288794,True
10,DLS-50,1,,,,0.12539478899998358,False
10,DLS-50,2,,,,0.12539478899998358,False
10,DLS-75,1,68475,75,75,0.230971965000208,True
10,DLS-75,2,68475,75,543,0.230971965000208,True
10,DLS-100,1,102105,99,99,0.3280739840001843,True
10,DLS-100,2,102105,99,567,0.3280739840001843,True
10,UCS,1,5747,59,59,0.02146715700018831,True
10,UCS,2,5747,59,491,0.02146715700018831,True
10,A1,1,313,59,59,0.0011387610002202564,True
10,A2,2,313,59,491,0.0011664109997582273,True
11,RANDOM,1,,,,4.875800004811026e-05,False
11,RANDOM,2,,,,4.875800004811026e-05,False
11,BFS,1,5982,89,89,0.017025838999870757,True
11,BFS,2,5982,89,161,0.017025838999870757,True
11,DFS,1,4246,3983,3983,0.010052246000668674,True
11,DFS,2,4246,3983,12929,0.010052246000668674,True
11,DLS-50,1,,,,0.08524155499981134,False
11,DLS-50,2,,,,0.08524155499981134,False
11,DLS-75,1,,,,0.2227185540004939,False
11,DLS-75,2,,,,0.2227185540004939,False
11,DLS-100,1,89002,99,99,0.28695667299962224,True
11,DLS-100,2,89002,99,243,0.28695667299962224,True
11,UCS,1,1908,89,89,0.007051370999761275,True
11,UCS,2,1908,89,161,0.007051370999761275,True
11,A1,1,488,89,89,0.0018049700001938618,True
11,A2,2,488,89,161,0.001818804000322416,True
12,RANDOM,1,,,,7.589000233565457e-06,False
12,RANDOM,2,,,,7.589000233565457e-06,False
12,BFS,1,3752,64,64,0.011322182999720098,True
12,BFS,2,3752,64,433,0.011322182999720098,True
12,DFS,1,4557,4132,4132,0.010805828999764344,True
12,DFS,2,4557,4132,12259,0.010805828999764344,True
12,DLS-50,1,,,,0.0926731280005697,False
12,DLS-50,2,,,,0.0926731280005697,False
12,DLS-75,1,57433,74,74,0.19143837800038455,True
12,DLS-75,2,57433,74,461,0.19143837800038455,True
12,DLS-100,1,86308,100,100,0.2754439829996045,True
12,DLS-100,2,86308,100,505,0.2754439829996045,True
12,UCS,1,4211,64,64,0.015689199000007648,True
12,UCS,2,4211,64,433,0.015689199000007648,True
12,A1,1,844,64,64,0.0030546360003427253,True
12,A2,2,844,64,433,0.003203234000466182,True
13,RANDOM,1,,,,2.657899949554121e-05,False
13,RANDOM,2,,,,2.657899949554121e-05,False
13,BFS,1,6916,65,65,0.01980159699996875,True
13,BFS,2,6916,65,398,0.01980159699996875,True
13,DFS,1,867,811,811,0.0020406359999469714,True
13,DFS,2,867,811,2404,0.0020406359999469714,True
13,DLS-50,1,,,,0.15155020199927094,False
13,DLS-50,2,,,,0.15155020199927094,False
13,DLS-75,1,14333,75,75,0.043843991000358074,True
13,DLS-75,2,14333,75,408,0.043843991000358074,True
13,DLS-100,1,24758,99,99,0.07606179699996574,True
13,DLS-100,2,24758,99,432,0.07606179699996574,True
13,UCS,1,6833,65,65,0.02563638900028309,True
13,UCS,2,6833,65,398,0.02563638900028309,True
13,A1,1,875,65,65,0.0031612749999112566,True
13,A2,2,875,65,398,0.0032079729999168194,True
14,RANDOM,1,,,,9.641999895393383e-06,False
14,RANDOM,2,,,,9.641999895393383e-06,False
14,BFS,1,4019,66,66,0.01118478199987294,True
14,BFS,2,4019,66,372,0.01118478199987294,True
14,DFS,1,4598,4292,4292,0.010443590999784647,True
14,DFS,2,4598,4292,13778,0.010443590999784647,True
14,DLS-50,1,,,,0.1006845540005088,False
14,DLS-50,2,,,,0.1006845540005088,False
14,DLS-75,1,14654,74,74,0.04559585300012259,True
14,DLS-75,2,14654,74,380,0.04559585300012259,True
14,DLS-100,1,27248,100,100,0.08267225899999175,True
14,DLS-100,2,27248,100,406,0.08267225899999175,True
14,UCS,1,4341,66,66,0.015852928999265714,True
14,UCS,2,4341,66,372,0.015852928999265714,True
14,A1,1,939,66,66,0.003786833000049228,True
14,A2,2,939,66,372,0.0038730960004613735,True
15,RANDOM,1,,,,2.7490999855217524e-05,False
15,RANDOM,2,,,,2.7490999855217524e-05,False
15,BFS,1,4758,60,60,0.013604319000478426,True
15,BFS,2,4758,60,501,0.013604319000478426,True
15,DFS,1,2975,2784,2784,0.006854072000351152,True
15,DFS,2,2975,2784,8463,0.006854072000351152,True
15,DLS-50,1,,,,0.1361501399996996,False
15,DLS-50,2,,,,0.1361501399996996,False
15,DLS-75,1,77543,74,74,0.2614809940005216,True
15,DLS-75,2,77543,74,515,0.2614809940005216,True
15,DLS-100,1,122088,100,100,0.39307900999938283,True
15,DLS-100,2,122088,100,541,0.39307900999938283,True
15,UCS,1,6777,60,60,0.025596591000066837,True
15,UCS,2,6777,60,501,0.025596591000066837,True
15,A1,1,491,60,60,0.0018288339997525327,True
15,A2,2,491,60,501,0.0018410259999654954,True
16,RANDOM,1,,,,8.726000487513375e-06,False
16,RANDOM,2,,,,8.726000487513375e-06,False
16,BFS,1,8395,119,119,0.02447664999999688,True
16,BFS,2,8395,119,857,0.02447664999999688,True
16,DFS,1,8616,7863,7863,0.01998263399946154,True
16,DFS,2,8616,7863,23811,0.01998263399946154,True
16,DLS-50,1,,,,0.10624187299981713,False
16,DLS-50,2,,,,0.10624187299981713,False
16,DLS-75,1,,,,0.2626650530000916,False
16,DLS-75,2,,,,0.2626650530000916,False
16,DLS-100,1,,,,0.5196404799999073,False
16,DLS-100,2,,,,0.5196404799999073,False
16,UCS,1,8859,119,119,0.03333322499929636,True
16,UCS,2,8859,119,857,0.03333322499929636,True
16,A1,1,2528,119,119,0.009486766999543761,True
16,A2,2,2528,119,857,0.009631805999561038,True
17,RANDOM,1,,,,1.0470999768585898e-05,False
17,RANDOM,2,,,,1.0470999768585898e-05,False
17,BFS,1,3004,49,49,0.008598368999628292,True
17,BFS,2,3004,49,94,0.008598368999628292,True
17,DFS,1,4059,3815,3815,0.00946183700034453,True
17,DFS,2,4059,3815,11384,0.00946183700034453,True
17,DLS-50,1,27509,49,49,0.10435583500020584,True
17,DLS-50,2,27509,49,94,0.10435583500020584,True
17,DLS-75,1,31030,75,75,0.1038082189998022,True
17,DLS-75,2,31030,75,192,0.1038082189998022,True
17,DLS-100,1,49231,99,99,0.15791530899969075,True
17,DLS-100,2,49231,99,414,0.15791530899969075,True
17,UCS,1,753,49,49,0.0028748739996444783,True
17,UCS,2,753,49,94,0.0028748739996444783,True
17,A1,1,215,49,49,0.0007928209997771773,True
17,A2,2,240,49,94,0.0008913670008041663,True
18,RANDOM,1,,,,2.5798000024224166e-05,False
18,RANDOM,2,,,,2.5798000024224166e-05,False
18,BFS,1,90,6,6,0.0001931509996211389,True
18,BFS,2,90,6,15,0.0001931509996211389,True
18,DFS,1,4259,3882,3882,0.01085240900010831,True
18,DFS,2,4259,3882,12117,0.01085240900010831,True
18,DLS-50,1,7444,50,50,0.030531041999893205,True
18,DLS-50,2,7444,50,95,0.030531041999893205,True
18,DLS-75,1,18080,74,74,0.05959788000018307,True
18,DLS-75,2,18080,74,137,0.05959788000018307,True
18,DLS-100,1,13675,100,100,0.04303924199939502,True
18,DLS-100,2,13675,100,217,0.04303924199939502,True
18,UCS,1,45,6,6,0.00018455499957781285,True
