algorithm_name,env_n,size,best_solution,H,states,time
GA,20,4,"[1, 3, 0, 0]",1,128,0.0017202089948114008
random,21,4,"[2, 0, 3, 1]",0,110,0.00033483300649095327
HC,21,4,"[3, 1, 0, 2]",1,25,3.649399150162935e-05
SA,21,4,"[1, 1, 1, 0]",4,128,0.00047138000081758946
GA,21,4,"[1, 3, 0, 2]",0,80,0.000897684003575705
random,22,4,"[2, 0, 3, 1]",0,62,0.0001771489914972335
HC,22,4,"[1, 3, 2, 0]",1,37,6.776399095542729e-05
SA,22,4,"[1, 3, 0, 2]",0,116,0.0004095940093975514
GA,22,4,"[0, 3, 1, 2]",1,128,0.0013963399978820235
random,23,4,"[1, 3, 0, 2]",0,110,0.0002913329954026267
HC,23,4,"[2, 0, 3, 1]",0,13,1.7254991689696908e-05
SA,23,4,"[0, 1, 0, 0]",5,128,0.00040658999932929873
GA,23,4,"[2, 0, 3, 1]",0,64,0.0005901889962842688
random,24,4,"[1, 3, 0, 2]",0,81,0.00020241299353074282
HC,24,4,"[1, 3, 0, 2]",0,25,2.9724003979936242e-05
SA,24,4,"[1, 3, 0, 2]",0,12,3.770699549932033e-05
GA,24,4,"[1, 3, 0, 2]",0,80,0.0007201600092230365
random,25,4,"[1, 3, 0, 2]",0,82,0.00019155199697706848
HC,25,4,"[1, 2, 0, 3]",1,25,2.8869006200693548e-05
SA,25,4,"[2, 0, 3, 1]",0,94,0.00027085799956694245
GA,25,4,"[1, 1, 0, 2]",2,128,0.0011567820038180798
random,26,4,"[0, 3, 0, 2]",1,128,0.0002769029961200431
HC,26,4,"[2, 0, 3, 1]",0,13,1.4603996532969177e-05
SA,26,4,"[1, 3, 0, 2]",0,79,0.00020461301028262824
GA,26,4,"[2, 0, 3, 1]",0,32,0.00019432099361438304
random,27,4,"[1, 3, 0, 3]",1,128,0.00026256700220983475
HC,27,4,"[3, 1, 0, 2]",1,37,3.4594006137922406e-05
SA,27,4,"[1, 1, 2, 2]",3,128,0.00032638199627399445
GA,27,4,"[2, 0, 3, 1]",0,16,3.5900011425837874e-05
random,28,4,"[2, 0, 3, 3]",1,128,0.0002581979933893308
HC,28,4,"[2, 0, 1, 3]",1,25,2.2833992261439562e-05
SA,28,4,"[2, 0, 3, 1]",0,13,3.187000402249396e-05
GA,28,4,"[1, 3, 0, 2]",0,48,0.000320557999657467
random,29,4,"[1, 3, 0, 2]",0,120,0.00024050399952102453
HC,29,4,"[0, 3, 1, 2]",1,37,3.24220018228516e-05
SA,29,4,"[1, 3, 0, 2]",0,19,4.5464010327123106e-05
GA,29,4,"[1, 3, 0, 2]",0,80,0.0005828069988638163
random,30,4,"[2, 0, 3, 1]",0,20,4.103001265320927e-05
HC,30,4,"[2, 0, 1, 3]",1,37,3.499200101941824e-05
SA,30,4,"[1, 3, 0, 2]",0,36,9.676998888608068e-05
GA,30,4,"[3, 3, 0, 2]",1,128,0.0013461040070978925
random,1,8,"[2, 4, 7, 1, 4, 6, 0, 6]",2,512,0.002321856009075418
HC,1,8,"[4, 2, 0, 6, 3, 1, 5, 7]",1,337,0.0007296379917534068
SA,1,8,"[4, 1, 4, 1, 3, 1, 2, 4]",9,512,0.003972353995777667
GA,1,8,"[7, 0, 4, 7, 5, 1, 6, 2]",3,512,0.01837137999245897
random,2,8,"[2, 7, 1, 6, 0, 2, 6, 5]",3,512,0.0024062199954641983
HC,2,8,"[0, 6, 4, 2, 7, 3, 7, 5]",2,169,0.0003365500015206635
SA,2,8,"[3, 2, 4, 7, 6, 0, 6, 0]",5,512,0.0037134099984541535
GA,2,8,"[2, 0, 3, 7, 4, 1, 5, 7]",3,512,0.018914297994342633
random,3,8,"[0, 6, 4, 3, 7, 4, 2, 5]",3,512,0.0021381400001700968
HC,3,8,"[2, 6, 3, 7, 4, 1, 5, 0]",1,281,0.0005261699989205226
SA,3,8,"[2, 5, 6, 2, 7, 2, 1, 5]",6,512,0.003634248991147615
GA,3,8,"[1, 6, 2, 2, 7, 0, 0, 5]",3,512,0.017971136985579506
random,4,8,"[5, 2, 4, 6, 3, 5, 7, 1]",2,512,0.0023316709994105622
HC,4,8,"[2, 7, 5, 1, 1, 4, 6, 3]",1,281,0.0005903440032852814
SA,4,8,"[6, 3, 0, 5, 2, 0, 4, 3]",8,512,0.0037557409959845245
GA,4,8,"[5, 5, 4, 7, 3, 6, 6, 2]",4,512,0.01828883698908612
random,5,8,"[4, 4, 7, 0, 2, 5, 2, 6]",2,512,0.002281091990880668
HC,5,8,"[4, 0, 5, 3, 6, 0, 7, 1]",1,225,0.0007500960055040196
SA,5,8,"[6, 0, 6, 6, 0, 2, 3, 0]",9,512,0.003771699994103983
GA,5,8,"[6, 1, 5, 0, 0, 7, 2, 2]",3,512,0.018206481996458024
random,6,8,"[0, 6, 0, 5, 7, 1, 3, 2]",2,512,0.0022675660002278164
HC,6,8,"[7, 5, 0, 6, 1, 7, 2, 3]",2,225,0.00047221498971339315
SA,6,8,"[4, 5, 2, 7, 0, 7, 1, 6]",7,512,0.003755990997888148
GA,6,8,"[4, 1, 7, 2, 6, 7, 7, 1]",5,512,0.01896135401329957
random,7,8,"[5, 7, 2, 4, 7, 1, 4, 6]",2,512,0.0024796480138320476
HC,7,8,"[4, 4, 0, 5, 3, 6, 0, 7]",2,225,0.00041175699152518064
SA,7,8,"[1, 6, 1, 1, 5, 4, 0, 7]",6,512,0.0037057790032122284
GA,7,8,"[3, 6, 4, 1, 5, 3, 0, 6]",4,512,0.01819580099254381
random,8,8,"[4, 7, 5, 2, 6, 1, 3, 4]",2,512,0.002511637008865364
HC,8,8,"[6, 1, 1, 4, 7, 0, 3, 5]",1,225,0.0006753990019205958
SA,8,8,"[6, 5, 5, 7, 4, 2, 6, 4]",8,512,0.00380963999486994
GA,8,8,"[0, 4, 2, 7, 7, 1, 1, 5]",4,512,0.018583438999485224
random,9,8,"[1, 4, 4, 0, 6, 3, 5, 7]",2,512,0.002369686000747606
HC,9,8,"[5, 2, 4, 7, 0, 3, 1, 6]",0,337,0.0006328049930743873
SA,9,8,"[1, 5, 0, 2, 2, 2, 5, 1]",8,512,0.003681082002003677
GA,9,8,"[6, 2, 0, 4, 3, 7, 6, 1]",4,512,0.017574673998751678
random,10,8,"[4, 1, 4, 2, 7, 3, 6, 2]",3,512,0.002345589004107751
HC,10,8,"[1, 4, 0, 3, 6, 7, 2, 4]",2,169,0.0003599299961933866
SA,10,8,"[5, 5, 0, 1, 2, 7, 4, 6]",8,512,0.0036975270049879327
GA,10,8,"[0, 4, 7, 1, 5, 3, 2, 0]",4,512,0.018613056003232487
random,11,8,"[5, 2, 4, 7, 4, 3, 1, 6]",2,512,0.002601436004624702
HC,11,8,"[4, 6, 0, 5, 1, 4, 7, 3]",1,281,0.0005317489994922653
SA,11,8,"[3, 4, 2, 7, 1, 1, 5, 5]",4,512,0.003843369006062858
GA,11,8,"[3, 1, 4, 7, 0, 3, 0, 2]",3,512,0.018700577013078146
random,12,8,"[5, 5, 0, 3, 6, 4, 2, 4]",3,512,0.0024578680022386834
HC,12,8,"[0, 5, 1, 6, 4, 2, 7, 3]",1,225,0.00048080499982461333
SA,12,8,"[7, 2, 0, 4, 3, 5, 2, 6]",6,512,0.0037386619951575994
GA,12,8,"[4, 1, 7, 6, 3, 0, 7, 3]",3,512,0.018276203001732938
random,13,8,"[1, 7, 5, 7, 2, 4, 6, 4]",2,512,0.0021033519878983498
HC,13,8,"[2, 6, 3, 0, 4, 1, 5, 7]",1,225,0.000434485002188012
SA,13,8,"[5, 2, 0, 0, 7, 5, 5, 2]",7,512,0.0037073169951327145
GA,13,8,"[1, 4, 0, 3, 5, 2, 4, 6]",3,512,0.018667200012714602
random,14,8,"[2, 7, 5, 3, 0, 0, 4, 1]",2,512,0.0027858289977302775
HC,14,8,"[0, 3, 6, 4, 7, 1, 4, 2]",1,225,0.0004102480015717447
SA,14,8,"[0, 3, 5, 3, 7, 2, 7, 5]",6,512,0.004246009993948974
GA,14,8,"[2, 6, 7, 2, 7, 1, 0, 5]",4,512,0.018371247002505697
random,15,8,"[1, 4, 6, 3, 0, 2, 5, 7]",1,512,0.002210759004810825
HC,15,8,"[3, 1, 6, 2, 5, 7, 4, 0]",0,169,0.000304454006254673
SA,15,8,"[7, 4, 4, 6, 4, 7, 6, 2]",10,512,0.0036483379954006523
GA,15,8,"[2, 0, 7, 3, 1, 4, 4, 0]",4,512,0.018171595002058893
random,16,8,"[6, 4, 2, 5, 3, 1, 7, 5]",2,512,0.002437991992337629
HC,16,8,"[4, 6, 0, 5, 1, 6, 3, 7]",2,225,0.0004631810006685555
SA,16,8,"[4, 1, 7, 0, 2, 6, 3, 6]",3,512,0.003743138993741013
GA,16,8,"[5, 3, 2, 4, 2, 0, 7, 1]",4,512,0.01815035800973419
random,17,8,"[5, 2, 6, 1, 7, 5, 0, 2]",2,512,0.0020847229898208752
HC,17,8,"[0, 4, 1, 5, 2, 6, 3, 7]",1,225,0.0004587860021274537
SA,17,8,"[2, 4, 7, 7, 2, 3, 3, 5]",7,512,0.0036724259989568964
GA,17,8,"[1, 2, 2, 6, 1, 0, 4, 3]",5,512,0.01808102500217501
random,18,8,"[3, 6, 4, 1, 5, 2, 2, 6]",3,512,0.002345793996937573
HC,18,8,"[6, 2, 0, 4, 0, 7, 5, 1]",2,169,0.000364720996003598
SA,18,8,"[7, 4, 2, 0, 3, 1, 0, 5]",3,512,0.0042382259998703375
GA,18,8,"[3, 2, 7, 5, 7, 2, 4, 6]",4,512,0.019195655011571944
random,19,8,"[5, 3, 6, 4, 7, 1, 6, 0]",2,512,0.0020165919995633885
HC,19,8,"[2, 0, 6, 3, 1, 5, 7, 4]",2,281,0.0005067629972472787
SA,19,8,"[7, 3, 6, 3, 0, 7, 4, 2]",4,512,0.003693197009852156
GA,19,8,"[1, 5, 7, 6, 3, 0, 4, 3]",3,512,0.01854310999624431
random,20,8,"[6, 5, 3, 0, 4, 7, 1, 6]",2,512,0.0028150869911769405
HC,20,8,"[6, 3, 1, 7, 5, 0, 2, 4]",0,281,0.0006834840023657307
SA,20,8,"[1, 4, 1, 4, 1, 5, 7, 5]",9,512,0.004199287999654189
GA,20,8,"[4, 2, 5, 7, 5, 1, 6, 6]",4,512,0.01805120799690485
random,21,8,"[4, 1, 3, 0, 2, 5, 1, 6]",2,512,0.002071626004180871
HC,21,8,"[3, 0, 7, 4, 2, 5, 6, 1]",1,281,0.0006956339930184186
SA,21,8,"[1, 0, 0, 3, 4, 2, 5, 7]",6,512,0.0036932770017301664
GA,21,8,"[6, 3, 0, 7, 4, 2, 0, 4]",4,512,0.018785747000947595
random,22,8,"[7, 3, 1, 6, 4, 0, 5, 5]",2,512,0.002609117000247352
HC,22,8,"[5, 0, 4, 1, 7, 2, 6, 3]",0,225,0.0004164520069025457
SA,22,8,"[0, 6, 0, 5, 6, 4, 3, 5]",6,512,0.004122743004700169
GA,22,8,"[3, 5, 0, 4, 1, 5, 1, 6]",3,512,0.01883437199285254
random,23,8,"[7, 4, 1, 7, 0, 6, 3, 5]",1,512,0.0020284909987822175
HC,23,8,"[7, 1, 4, 0, 5, 0, 2, 6]",1,281,0.0005198150029173121
SA,23,8,"[4, 1, 4, 7, 0, 0, 2, 6]",5,512,0.00371388100029435
GA,23,8,"[0, 3, 7, 7, 6, 0, 2, 5]",4,512,0.01935492600023281
random,24,8,"[6, 3, 7, 0, 5, 5, 2, 6]",3,512,0.002041714993538335
HC,24,8,"[2, 0, 3, 1, 4, 6, 1, 7]",3,169,0.0003297889925306663
SA,24,8,"[3, 4, 2, 3, 7, 7, 2, 1]",8,512,0.004111171001568437
GA,24,8,"[4, 1, 1, 0, 5, 3, 7, 7]",5,512,0.018268807005370036
