algorithm_name,env_n,size,best_solution,H,states,time
GA,20,10,"[9, 3, 1, 8, 6, 2, 0, 8, 4, 5]",3,800,0.053447543003130704
random,21,10,"[2, 4, 5, 9, 0, 9, 0, 6, 3, 1]",3,800,0.004805716991540976
HC,21,10,"[6, 3, 6, 0, 9, 4, 1, 8, 2, 5]",1,451,0.001340552989859134
SA,21,10,"[9, 0, 0, 7, 6, 4, 1, 9, 7, 5]",9,689,0.008123263003653847
GA,21,10,"[1, 5, 2, 8, 1, 3, 9, 6, 7, 2]",5,800,0.05289215898665134
random,22,10,"[1, 6, 9, 5, 7, 0, 4, 3, 7, 8]",4,800,0.005110195997986011
HC,22,10,"[2, 6, 5, 3, 1, 9, 4, 1, 7, 0]",2,361,0.0009919330041157082
SA,22,10,"[1, 9, 0, 5, 1, 7, 5, 0, 2, 4]",5,689,0.008053537996602245
GA,22,10,"[7, 1, 0, 5, 8, 4, 8, 3, 9, 9]",5,800,0.053416199996718206
random,23,10,"[9, 6, 3, 7, 4, 8, 2, 0, 5, 7]",4,800,0.004969051995431073
HC,23,10,"[9, 5, 3, 0, 6, 3, 5, 7, 2, 4]",3,361,0.0009747549920575693
SA,23,10,"[3, 9, 6, 9, 6, 8, 0, 4, 1, 5]",4,689,0.008917133993236348
GA,23,10,"[0, 5, 4, 9, 7, 3, 1, 3, 9, 6]",3,800,0.053894649987341836
random,24,10,"[4, 0, 9, 4, 1, 8, 2, 7, 5, 1]",4,800,0.004392155999084935
HC,24,10,"[3, 0, 7, 5, 2, 9, 1, 4, 8, 3]",1,541,0.0014719189930474386
SA,24,10,"[3, 6, 7, 2, 1, 5, 8, 8, 0, 0]",5,689,0.008162357000401244
GA,24,10,"[1, 6, 7, 1, 8, 8, 2, 3, 0, 5]",7,800,0.053362402992206626
random,25,10,"[3, 6, 9, 1, 1, 5, 6, 9, 7, 0]",4,800,0.004515248001553118
HC,25,10,"[8, 5, 7, 1, 3, 0, 6, 4, 9, 2]",1,361,0.0009757359948707744
SA,25,10,"[0, 3, 8, 4, 2, 1, 5, 1, 9, 9]",5,689,0.008519417999195866
GA,25,10,"[6, 4, 9, 5, 0, 7, 1, 3, 7, 0]",4,800,0.05397626300691627
random,26,10,"[0, 2, 7, 3, 1, 1, 5, 9, 6, 4]",3,800,0.004143426995142363
HC,26,10,"[8, 5, 3, 9, 0, 4, 1, 7, 2, 6]",0,271,0.0007146459975047037
SA,26,10,"[8, 1, 9, 9, 0, 1, 4, 2, 5, 3]",4,689,0.008601608002209105
GA,26,10,"[3, 9, 7, 4, 1, 0, 2, 5, 6, 1]",4,800,0.05390748799254652
random,27,10,"[0, 3, 0, 8, 8, 2, 9, 3, 1, 5]",4,800,0.004124275001231581
HC,27,10,"[4, 9, 0, 2, 5, 1, 7, 0, 8, 6]",2,541,0.0014745989901712164
SA,27,10,"[2, 5, 3, 7, 1, 4, 0, 6, 3, 6]",7,689,0.008499415998812765
GA,27,10,"[7, 1, 9, 5, 1, 8, 9, 3, 0, 5]",7,800,0.052730445997440256
random,28,10,"[2, 9, 3, 8, 1, 4, 0, 0, 6, 9]",3,800,0.004215472989017144
HC,28,10,"[4, 6, 5, 9, 2, 0, 8, 3, 1, 7]",2,361,0.0009698359936010092
SA,28,10,"[5, 5, 4, 4, 9, 3, 6, 8, 0, 2]",6,689,0.008811674997559749
GA,28,10,"[0, 9, 4, 4, 1, 3, 0, 9, 7, 4]",7,800,0.05307246299344115
random,29,10,"[2, 5, 8, 4, 1, 9, 6, 3, 7, 2]",3,800,0.004191323008853942
HC,29,10,"[3, 3, 6, 2, 5, 1, 4, 0, 8, 4]",2,541,0.0017598580016056076
SA,29,10,"[2, 5, 1, 8, 4, 9, 7, 0, 9, 4]",5,689,0.008602133006206714
GA,29,10,"[1, 4, 2, 4, 2, 9, 5, 3, 5, 3]",5,800,0.05254274400067516
random,30,10,"[5, 1, 0, 7, 1, 6, 0, 2, 4, 8]",4,800,0.00420354500238318
HC,30,10,"[4, 1, 5, 8, 1, 7, 2, 6, 9, 0]",1,541,0.001723896013572812
SA,30,10,"[1, 7, 0, 6, 9, 0, 2, 4, 4, 1]",5,689,0.009307218002504669
GA,30,10,"[4, 9, 0, 6, 3, 6, 1, 9, 4, 8]",5,800,0.05559702900063712
